species,breed,heartRate,respiration,temperature,anomaly_class
cat,Siamese,213.3,38.4,38.7,0
cat,Bengal,140.4,35.1,38.3,0
cat,Sphynx,395.3,26.7,38.2,1
dog,Bulldog,90.9,21.4,37.6,0
dog,Beagle,90.3,11.1,37.5,0
dog,Labrador,96.0,17.7,38.3,0
cat,Persian,125.3,19.4,38.7,0
dog,Bulldog,84.2,12.9,38.7,0
cat,Persian,147.0,24.5,39.0,0
cat,Maine Coon,151.8,23.4,38.9,0
cat,Bengal,187.7,35.6,38.6,0
cat,Bengal,209.9,39.9,38.9,0
dog,Poodle,69.6,27.5,38.1,0
cat,Bengal,161.6,37.9,39.0,0
dog,Beagle,62.6,18.0,38.6,0
cat,Sphynx,211.3,16.4,38.8,0
cat,Bengal,146.6,18.2,38.6,0
dog,Bulldog,66.8,23.1,38.4,0
cat,Bengal,144.3,33.6,38.8,0
cat,Persian,130.5,39.8,38.4,0
cat,Maine Coon,128.0,33.0,38.6,0
dog,Poodle,87.7,25.3,38.0,0
dog,Labrador,65.2,29.1,38.4,0
dog,Beagle,85.4,29.9,38.7,0
dog,Beagle,62.5,28.3,38.1,0
dog,Bulldog,72.2,19.0,38.3,0
dog,Labrador,72.2,17.9,38.2,0
dog,Poodle,86.2,14.6,37.5,0
dog,German Shepherd,95.6,29.5,38.6,0
cat,Bengal,135.5,17.8,38.8,0
cat,Maine Coon,179.9,25.0,38.4,0
cat,Siamese,166.5,38.2,38.0,0
cat,Maine Coon,135.3,27.3,38.8,0
dog,Bulldog,76.2,29.7,37.9,0
cat,Siamese,121.8,22.0,38.4,0
dog,Poodle,70.4,16.7,38.2,0
dog,German Shepherd,90.9,12.1,38.7,0
cat,Maine Coon,200.4,26.4,38.7,0
cat,Bengal,200.0,37.3,38.4,0
dog,Poodle,87.1,11.3,38.0,0
dog,Labrador,77.2,16.4,38.4,0
dog,Beagle,87.9,15.4,39.0,0
cat,Maine Coon,350.1,37.2,38.7,1
dog,German Shepherd,72.3,21.1,38.4,0
dog,Siberian Husky,91.8,27.8,38.0,0
dog,Labrador,85.2,19.0,37.8,0
cat,Maine Coon,337.3,17.5,38.1,1
cat,Maine Coon,191.5,26.0,38.2,0
cat,Siamese,171.2,35.9,38.5,0
cat,Persian,200.4,39.1,38.5,0
cat,Bengal,183.1,28.1,38.6,0
dog,German Shepherd,82.9,23.2,37.9,0
cat,Persian,188.8,31.1,38.2,0
cat,Sphynx,182.4,20.6,38.5,0
dog,German Shepherd,75.7,18.7,38.9,0
dog,Bulldog,73.9,20.9,39.0,0
cat,Bengal,131.3,21.0,39.2,0
cat,Persian,152.5,28.4,38.1,0
dog,Siberian Husky,61.8,21.3,37.9,0
cat,Sphynx,189.3,28.1,38.6,0
dog,Poodle,99.4,15.0,37.6,0
dog,Beagle,85.0,20.8,38.2,0
dog,Bulldog,81.9,20.7,38.0,0
cat,Sphynx,205.5,31.6,38.1,0
cat,Persian,197.2,33.7,38.1,0
dog,Siberian Husky,72.3,17.4,38.3,0
dog,Bulldog,70.2,20.1,38.9,0
dog,Bulldog,72.8,20.1,37.7,0
dog,Siberian Husky,76.5,17.0,38.9,0
dog,Beagle,72.5,15.1,37.5,0
dog,Beagle,86.2,28.5,40.0,3
dog,Bulldog,83.4,17.2,38.2,0
dog,Poodle,122.7,10.1,38.2,1
dog,Siberian Husky,94.3,16.2,39.0,0
dog,Beagle,82.4,26.6,38.6,0
cat,Persian,186.3,27.9,38.8,0
dog,German Shepherd,78.0,28.8,38.9,0
cat,Persian,216.7,36.4,39.1,0
dog,Beagle,99.9,17.0,38.7,0
dog,Bulldog,145.4,30.0,37.9,1
dog,Labrador,70.2,15.3,37.6,0
cat,Bengal,140.1,28.6,38.4,0
cat,Siamese,194.4,34.2,38.8,0
dog,Siberian Husky,89.1,16.1,38.7,0
dog,Labrador,61.8,15.9,37.9,0
dog,Beagle,90.8,18.5,37.8,0
dog,Siberian Husky,74.9,23.6,37.6,0
dog,Bulldog,74.2,23.7,38.5,0
cat,Bengal,123.4,35.7,38.2,0
cat,Siamese,184.2,37.3,38.2,0
cat,Siamese,140.8,33.0,38.3,0
cat,Bengal,143.1,35.0,38.7,0
cat,Bengal,122.6,37.6,38.0,0
cat,Sphynx,149.1,39.3,39.0,0
cat,Sphynx,167.5,17.4,38.9,0
dog,Poodle,78.8,16.7,37.7,0
cat,Sphynx,185.0,20.8,38.7,0
cat,Sphynx,193.3,18.3,39.1,0
dog,Labrador,82.9,13.6,37.9,0
dog,Labrador,74.3,17.1,38.7,0
cat,Sphynx,164.9,26.4,38.7,0
dog,Beagle,68.4,19.1,38.9,0
dog,Siberian Husky,85.1,17.9,37.9,0
cat,Sphynx,163.9,22.9,38.1,0
dog,Labrador,71.1,26.1,38.6,0
cat,Sphynx,163.5,17.4,38.6,0
cat,Bengal,146.9,19.7,38.6,0
dog,Poodle,70.8,25.4,38.8,0
cat,Bengal,124.7,39.9,38.9,0
dog,Labrador,80.3,26.2,38.1,0
cat,Bengal,131.9,34.3,38.2,0
dog,Siberian Husky,78.0,23.1,38.8,0
dog,Poodle,87.5,26.3,38.1,0
cat,Persian,121.8,37.1,39.0,0
dog,Poodle,64.1,12.5,39.0,0
dog,Bulldog,162.9,23.8,37.9,1
dog,Bulldog,97.2,17.7,38.2,0
dog,Labrador,67.6,12.2,38.6,0
cat,Maine Coon,121.4,24.4,38.2,0
cat,Persian,215.8,33.9,39.0,0
dog,Bulldog,63.9,24.4,37.9,0
cat,Maine Coon,201.6,34.0,38.5,0
cat,Siamese,128.0,19.4,38.7,0
cat,Sphynx,172.9,24.8,38.0,0
dog,Labrador,80.6,14.0,38.0,0
dog,German Shepherd,87.5,13.2,38.7,0
dog,Poodle,66.6,14.8,38.6,0
dog,German Shepherd,85.9,14.2,37.7,0
cat,Persian,199.3,26.5,38.2,0
cat,Persian,191.7,33.9,40.0,3
dog,Siberian Husky,90.0,10.6,38.8,0
cat,Maine Coon,142.0,27.6,38.1,0
cat,Sphynx,186.0,23.8,38.4,0
cat,Siamese,139.0,34.5,38.6,0
cat,Bengal,209.4,32.3,38.5,0
cat,Persian,184.3,28.4,38.1,0
cat,Persian,179.0,34.9,38.1,0
cat,Siamese,174.8,33.0,38.3,0
dog,Labrador,81.1,27.7,38.8,0
dog,Labrador,85.0,13.8,38.2,0
cat,Maine Coon,187.4,38.4,39.0,0
cat,Sphynx,164.4,39.8,38.6,0
cat,Maine Coon,347.6,25.3,39.0,1
cat,Bengal,185.2,17.3,38.2,0
dog,Siberian Husky,92.8,27.7,37.8,0
cat,Bengal,149.0,20.4,38.8,0
dog,Poodle,91.1,14.1,38.6,0
dog,Siberian Husky,100.0,25.4,38.1,0
cat,Persian,155.6,22.3,38.7,0
cat,Sphynx,174.5,26.2,38.6,0
cat,Maine Coon,136.0,21.7,38.8,0
cat,Sphynx,198.6,21.6,38.5,0
dog,Beagle,81.3,26.2,38.7,0
dog,Bulldog,83.9,17.3,38.7,0
cat,Sphynx,155.1,31.5,38.2,0
cat,Maine Coon,203.2,18.7,39.1,0
dog,Labrador,93.9,17.3,38.7,0
cat,Sphynx,165.5,16.2,38.5,0
cat,Siamese,219.5,35.3,38.8,0
cat,Bengal,196.8,25.3,39.0,0
cat,Bengal,203.8,27.8,39.0,0
cat,Maine Coon,128.8,24.1,38.5,0
cat,Bengal,178.8,23.9,38.6,0
dog,Siberian Husky,65.9,13.8,38.8,0
dog,Labrador,86.8,10.6,38.6,0
dog,Bulldog,83.4,10.8,38.2,0
cat,Bengal,209.5,19.3,39.0,0
cat,Sphynx,196.6,30.4,38.6,0
dog,Beagle,95.0,20.3,39.0,0
cat,Persian,174.6,25.0,38.3,0
cat,Persian,134.7,34.8,38.3,0
cat,Bengal,131.2,33.0,39.2,0
cat,Sphynx,149.6,24.5,38.9,0
cat,Sphynx,213.4,36.5,38.1,0
cat,Maine Coon,132.8,26.5,38.7,0
cat,Bengal,121.9,32.0,38.7,0
cat,Bengal,127.9,30.1,38.0,0
cat,Siamese,138.2,26.3,38.9,0
dog,Poodle,69.6,10.6,38.0,0
dog,Bulldog,61.2,13.3,37.8,0
cat,Sphynx,177.1,37.2,38.0,0
cat,Bengal,207.0,34.8,38.6,0
dog,Labrador,65.2,21.2,38.7,0
cat,Maine Coon,137.5,34.6,39.1,0
dog,Labrador,77.8,10.9,37.5,0
dog,Siberian Husky,93.2,17.9,38.5,0
cat,Sphynx,121.0,23.9,38.9,0
dog,German Shepherd,97.1,11.8,37.9,0
dog,Bulldog,61.7,13.2,38.1,0
cat,Siamese,203.5,107.4,38.9,2
dog,Bulldog,79.4,19.6,38.2,0
dog,Bulldog,87.6,23.4,39.7,3
dog,Labrador,84.6,10.9,38.8,0
dog,Beagle,76.8,29.4,37.6,0
dog,Labrador,76.6,25.7,38.3,0
dog,Beagle,60.8,29.4,38.7,0
dog,Siberian Husky,80.3,29.8,37.9,0
dog,Siberian Husky,83.8,12.0,38.8,0
cat,Siamese,214.8,24.6,40.0,3
cat,Persian,178.3,27.5,38.7,0
dog,Poodle,77.9,25.8,38.4,0
dog,Siberian Husky,82.0,18.8,38.8,0
cat,Maine Coon,195.1,33.1,38.2,0
cat,Sphynx,216.8,32.4,38.4,0
cat,Sphynx,211.4,34.2,38.5,0
dog,German Shepherd,91.2,24.4,40.4,3
dog,Siberian Husky,63.8,25.0,38.7,0
dog,German Shepherd,78.7,16.8,38.9,0
cat,Maine Coon,129.4,19.5,38.1,0
dog,Labrador,86.2,27.6,38.2,0
cat,Sphynx,142.4,38.7,38.0,0
cat,Maine Coon,196.3,16.5,38.6,0
dog,German Shepherd,95.3,13.2,38.0,0
cat,Persian,165.2,35.6,38.6,0
cat,Sphynx,200.1,30.7,38.2,0
dog,Poodle,68.5,25.9,37.8,0
cat,Sphynx,173.5,35.1,38.7,0
dog,Siberian Husky,92.0,22.6,37.8,0
cat,Siamese,150.1,22.8,40.4,3
dog,German Shepherd,78.2,16.9,38.5,0
dog,Bulldog,91.9,14.9,38.6,0
cat,Siamese,159.4,22.5,38.0,0
dog,Beagle,95.8,78.4,38.1,2
dog,Poodle,63.6,22.1,37.6,0
dog,Poodle,64.1,17.2,37.9,0
dog,Labrador,97.6,10.3,38.3,0
dog,Poodle,81.7,16.1,37.8,0
cat,Siamese,181.4,27.1,38.1,0
cat,Siamese,196.2,24.8,39.1,0
dog,Labrador,99.1,26.5,38.3,0
dog,Beagle,81.3,29.9,38.7,0
cat,Maine Coon,137.8,18.2,38.4,0
cat,Bengal,153.9,34.0,38.9,0
cat,Siamese,172.2,38.9,38.7,0
cat,Siamese,158.1,30.4,38.8,0
dog,Labrador,91.8,22.6,38.4,0
dog,Labrador,83.5,19.6,38.5,0
cat,Bengal,121.2,29.0,38.7,0
cat,Siamese,185.4,27.7,38.4,0
cat,Bengal,215.0,36.6,38.2,0
cat,Siamese,166.3,23.5,38.8,0
dog,German Shepherd,73.4,20.4,37.8,0
cat,Siamese,121.7,19.6,38.1,0
cat,Bengal,219.7,25.4,38.9,0
cat,Maine Coon,218.4,20.9,38.1,0
dog,Beagle,82.2,28.9,38.3,0
dog,Siberian Husky,79.6,13.4,37.6,0
dog,Labrador,61.6,22.1,38.9,0
cat,Maine Coon,130.6,26.5,38.1,0
dog,Labrador,66.3,21.9,38.4,0
cat,Persian,204.2,29.2,39.0,0
dog,German Shepherd,61.3,19.5,38.1,0
cat,Bengal,132.0,21.1,38.2,0
cat,Sphynx,196.3,36.8,38.0,0
cat,Maine Coon,176.4,16.4,38.9,0
dog,Siberian Husky,65.1,23.0,37.6,0
cat,Bengal,187.0,38.6,38.9,0
cat,Persian,144.0,26.4,38.3,0
dog,Labrador,89.2,23.0,38.8,0
cat,Bengal,138.8,22.0,40.7,3
dog,Labrador,65.1,25.1,38.2,0
cat,Maine Coon,176.2,17.8,38.4,0
dog,Bulldog,65.1,10.5,38.5,0
dog,Beagle,71.5,17.1,38.6,0
dog,Beagle,88.3,17.5,40.6,3
cat,Persian,189.1,30.6,39.2,0
cat,Sphynx,148.4,19.0,39.1,0
dog,Bulldog,91.7,29.6,38.7,0
cat,Maine Coon,196.1,35.7,38.8,0
cat,Siamese,162.7,16.9,39.2,0
dog,Siberian Husky,78.0,74.8,37.8,2
cat,Bengal,217.6,24.9,38.0,0
dog,Labrador,61.7,16.2,38.0,0
cat,Siamese,182.9,33.5,38.4,0
dog,Bulldog,86.0,14.4,37.6,0
cat,Sphynx,138.6,34.4,38.5,0
dog,Bulldog,78.8,10.6,37.8,0
cat,Sphynx,147.1,23.0,38.1,0
dog,Poodle,63.2,18.4,38.9,0
dog,Poodle,88.7,23.3,39.5,3
dog,Beagle,72.5,26.0,39.0,0
dog,Labrador,81.0,18.0,37.6,0
dog,Beagle,60.9,27.9,37.8,0
dog,Beagle,98.8,21.0,38.2,0
dog,Siberian Husky,91.4,22.0,37.8,0
cat,Siamese,177.6,39.4,39.2,0
cat,Siamese,186.1,32.9,38.2,0
dog,Labrador,76.2,11.3,37.9,0
dog,Poodle,85.0,11.4,38.5,0
dog,Labrador,77.4,28.4,38.0,0
cat,Sphynx,142.3,39.9,38.2,0
dog,Labrador,90.6,28.6,37.8,0
dog,Poodle,70.1,14.6,37.5,0
dog,Siberian Husky,96.5,22.2,38.3,0
dog,Beagle,60.7,28.1,37.6,0
dog,Siberian Husky,64.1,28.2,38.7,0
cat,Bengal,147.9,29.9,38.6,0
cat,Sphynx,122.1,39.4,38.1,0
cat,Bengal,151.9,18.5,38.9,0
dog,Labrador,83.0,28.5,37.7,0
cat,Sphynx,164.1,26.9,38.4,0
dog,Siberian Husky,85.0,25.9,37.9,0
cat,Maine Coon,141.6,31.2,38.0,0
